#MainDesig,EquivDesig,Class,YmJ,YmJerr,YmJt_min,JmK,JmKerr,JmKt_min,HmK,HmKerr,HmKt_min,TaxClassKNN,KNNMCProb,TaxClassProb,ProbProb,TaxClassFin
73382,73382|2002 LE8|2001 DK26,MBMMB,0.3725355,0.031260409526268,8.6231519991998,0.229479,0.13185236624441,6.0284520022105,,,,S,0.811141,S,0.77,S
124768,124768|2001 SB243,MBIMB,0.39917,0.036680847028797,7.2222479979973,0.59827925,0.096701900011388,8.7885360012297,,,,Ds,0.539951,Ad,0.38,U
232270,232270|2002 QD79,MBOMB,0.0555725,0.11303403826503,7.8000480076298,1.3526385,0.28035247827913,7.0031879958697,,,,Ad,0.952658,Ad,0.73,U
160542,160542|1998 FG47|2006 TO84,MBIMB,0.521468,0.092101859291765,7.2222479979973,0.959048,0.28212736364982,5.0866200076416,,,,Ad,0.847528,Ad,0.91,U
80788,80788|2000 CU84|2001 QV207,MBIMB,0.375085,0.12715471342129,6.8797799991444,0.646261,0.21759438191162,5.9402160008904,,,,Ad,0.329708,Ad,0.40,U
198178,198178|2004 TL104|2006 BR121,MBMMB,0.2682415,0.039828459526449,6.8797799991444,0.286017,0.13645279116054,5.9402160008904,,,,Kl,0.515697,Kl,0.44,U
63669,63669|2001 QS131|1999 BU14,MBIMB,0.196131,0.028209317142125,13.177548008971,0.59995575,0.081558122678709,8.2531440001912,,,,C,0.893939,C,0.75,C
50048,50048|2000 AL62,MBIMB,0.6030435,0.009880785754433,13.177548008971,0.113737,0.031054612809533,8.2531440001912,,,,V,1.0,V,1.00,V
56468,56468|2000 GO104|1992 EH25,MBIMB,0.47054025,0.008351414898836,17.498844004003,0.44942775,0.026518630599543,8.7019560020417,,,,S,1.0,S,0.90,S
120530,120530|1994 PJ21|2004 HJ7,MBIMB,0.397189833333,0.018141006820797,9.4271759921685,0.475773666667,0.036547713311962,6.2329680088442,,,,S,0.973952,S,0.85,S
183896,183896|2004 CD79,MBIMB,0.424836,0.084402974786142,8.4910679992754,0.43729,0.28175818875855,8.2404719979968,,,,S,0.460955,S,0.34,U
80528,80528|2000 AZ64,MBIMB,0.6785495,0.092928735212796,9.0445680019911,0.461462,0.19844938476914,6.1193879926577,,,,S,0.542715,V,0.82,U
156028,156028|2001 RT127,MBIMB,0.3140055,0.040146991910976,9.0445680019911,0.344345,0.11100103222043,6.1193879926577,,,,S,0.489791,Kl,0.37,U
44609,44609|1999 RW18|1998 HM68,MBIMB,0.42655,0.019211685259238,8.4910679992754,0.5158245,0.041255219206181,6.1952759942506,,,,S,0.956684,S,0.84,S
113128,113128|2002 RR83,MBOMB,0.1213645,0.089834744874964,9.0445680019911,0.5797525,0.2078379351502,6.1193879926577,,,,C,0.631834,C,0.23,U
77860,77860|2001 RQ133|2002 TX256,Trojan,0.3032915,0.078259488245835,8.4910679992754,0.6835735,0.20332921423949,8.2404719979968,,,,Ds,0.379039,Ad,0.38,U
382885,382885|2004 NY25,MBIMB,0.225896,0.10713014365131,9.0445680019911,0.893569,0.19220444468001,6.1193879926577,,,,Ad,0.634937,Ad,0.67,U
33880,33880|2000 JD65|2001 RG135,MBIMB,0.567351,0.053877144029264,9.0445680019911,0.098328500000001,0.19337252810767,6.1193879926577,,,,V,0.842355,V,0.98,U
92749,92749|2000 QT111|1999 KO10,MBMMB,0.313339,0.073331520806199,9.0445680019911,0.3830925,0.24797533694805,7.143623996526,,,,S,0.298933,Kl,0.21,U
2012 PZ34,2012 PZ34|2007 PE44,MBOMB,0.293849,0.092219490205433,6.8178239988629,0.559197,0.2934003540118,7.3658520018216,,,,Ds,0.229719,Ad,0.24,U
71303,71303|2000 AZ67,MBOMB,0.353405,0.038682247048872,7.3693079967052,0.3065185,0.10928693022269,6.2717400002293,,,,S,0.812319,S,0.56,S
108588,108588|2001 MR10|2000 DO109,MBIMB,0.3996665,0.023267883665044,7.3693079967052,0.4440105,0.052867050288909,6.2717400002293,,,,S,0.972708,S,0.89,S
90027,90027|2002 UM18|1991 PP27|2004 BP71,MBIMB,0.2704065,0.089136999671854,7.3693079967052,0.449606,0.2399605197246,6.2717400002293,,,,C,0.212759,Kl,0.20,U
238114,238114|2003 MX|2010 BY5,MBHilda,0.375755,0.23503760811889,9.2570039955899,1.309477,0.33862273863401,6.4259280008264,,,,Ad,0.942052,Ad,0.84,U
129317,129317|2005 TM18|1998 XM57,MBIMB,0.36500675,0.052417747871069,6.8178239988629,0.58566925,0.12509100414473,6.3447840011213,,,,Ds,0.533294,Ds,0.32,Ds
109296,109296|2001 QM125,MBOMB,0.348687,0.078466393570751,6.8260319984984,0.424915,0.20914737494169,6.3514799997211,,,,S,0.424165,S,0.29,U
80292,80292|1999 XX55|2002 RN21,MBIMB,0.2935765,0.05840859704701,7.3795320012141,0.269771,0.168735234354,6.2755919981282,,,,Kl,0.376565,Kl,0.38,U
336574,336574|2009 SU127|2005 GV91,MBInner,0.828028,0.16170182204756,7.3795320012141,0.8139965,0.16937766109349,3.0935520026833,,,,Ad,0.848386,Ad,0.94,U
77332,77332|2001 FH95,MBIMB,0.198942,0.080137840428228,7.3795320012141,0.623046,0.14274987641041,6.2755919981282,,,,C,0.573315,C,0.22,U
31146,31146|1997 UV3|1974 VU,MBIMB,0.451008,0.009124880410175,6.6268440010026,0.5126285,0.018823852514828,6.1493759904988,,,,S,1.0,S,0.83,S
119085,119085|2001 NW15,MBIMB,0.6961655,0.0175638026919,7.2043559979647,-0.0377665,0.056173404883895,6.0788879985921,,,,V,1.0,V,1.00,V
272202,272202|2005 QU17,MBIMB,0.4264695,0.087896351064762,6.6268440010026,0.834579,0.21522932384378,7.1902079950087,,,,Ad,0.704705,Ad,0.72,U
9776,9776|1993 VL3|1990 DO1,MBOMB,0.435577,0.010781544439458,6.6268440010026,0.5016205,0.023277453871719,6.1493759904988,,,,S,0.999964,S,0.91,S
29577,29577|1998 FA53|1995 QW10,MBOMB,0.1866965,0.02883635553429,6.6268440010026,0.349675,0.091765953215231,6.1493759904988,,,,Bk,0.445374,Bk,0.63,Bk
237038,237038|2008 SN104|1995 UJ77|2004 XS15,MBMMB,0.176869,0.094978516393182,6.6268440010026,0.801537,0.19523404232164,6.1493759904988,,,,Ad,0.426367,Ad,0.47,U
