#MainDesig,ProbClass,ProbProb
135893,S,0.56
30453,D,0.39
54733,Cgx,0.35
98249,Ad,0.33
244910,S,0.34
185767,Ad,0.28
175565,C,0.42
170577,S,0.48
143581,Ad,0.64
175310,Ad,0.42
311756,Ad,0.51
44878,V,1.00
248220,Ad,0.71
11916,V,0.99
44678,V,1.00
247657,Ad,0.21
101979,Kl,0.68
60694,V,0.68
101468,S,0.54
359277,Ad,0.63
247192,V,0.33
98691,Bk,0.61
38018,Kl,0.61
73916,Ad,0.89
26836,S,0.44
72745,Ad,0.68
6276,Kl,0.51
6677,Kl,0.31
69538,Kl,0.46
77810,V,0.64
5062,D,0.36
3629,V,1.00
6525,V,0.97
14977,C,0.42
19319,Ad,0.27
53448,S,0.81
5422,Xt,0.41
79359,Ad,0.96
35755,Ad,0.31
1759,S,0.96
53657,Ad,0.98
24333,Ad,0.38
30056,S,0.97
98627,Ad,0.72
91283,S,0.72
33684,V,0.99
208500,V,0.91
58271,V,0.99
17948,Kl,0.84
11294,Ad,0.92
59215,V,1.00
50761,Ad,0.74
306065,Ad,0.62
8069,Xt,0.42
77842,Kl,0.47
44571,Ad,0.24
20085,S,0.84
7326,S,0.82
55458,Xt,0.32
9690,Ad,1.00
28754,C,0.66
13082,V,0.39
40739,Kl,0.29
16176,Ad,0.71
1112,Cgx,0.61
14188,Bk,0.31
112441,Ad,0.42
46299,Kl,0.32
45671,Bk,0.58
29536,Kl,0.40
45387,C,0.89
70638,Ad,1.00
5853,S,0.66
44459,Kl,0.63
241927,Ad,0.75
239414,Ad,0.56
80041,Kl,0.53
99036,Kl,0.59
63477,Kl,0.48
364664,Kl,0.39
311760,C,0.50
248509,Kl,0.34
310557,S,0.30
73455,Kl,0.39
3582,Bk,0.46
53127,Ad,0.84
128317,Ad,0.87
2556,S,0.82
50924,D,0.22
87520,V,0.89
59290,Ad,0.96
50915,Ad,0.60
20254,S,0.83
53977,Ad,0.73
68871,Ad,0.81
1281,Xt,0.82
13380,V,1.00
303974,Ad,0.77
77390,Ad,0.49
24334,Ad,0.44
44424,Ad,0.75
43548,Ad,0.98
17508,C,0.46
193294,Kl,0.40
31201,Ad,0.59
50129,Kl,0.35
71398,Ad,0.46
95754,V,1.00
59873,S,0.39
9356,S,1.00
29548,S,0.35
304013,C,0.35
80052,S,0.67
140978,C,0.43
166950,V,0.48
23613,C,0.95
105032,Ad,0.44
242188,S,0.24
10734,Cgx,0.50
149710,Ad,0.93
381659,Ad,0.95
455124,Ad,0.88
98332,S,0.26
8355,S,0.66
241506,Bk,0.52
282373,V,0.66
247311,V,0.29
133086,D,0.40
250301,V,0.39
139390,D,0.26
245550,Ad,0.27
7447,Xt,0.36
100402,Kl,0.23
283221,V,0.59
46185,S,0.57
1711,Kl,0.38
24365,V,0.60
136596,Ad,0.76
80067,Ad,0.43
74200,Ad,0.45
5834,Ad,0.93
16970,Cgx,0.34
28185,Ad,0.95
90328,V,0.29
29529,Ad,0.69
76790,Kl,0.47
93647,Kl,0.45
8173,Kl,0.37
56145,Ad,0.67
131006,Ad,0.87
13877,Ad,0.75
22033,D,0.41
28607,Kl,0.77
51237,Ad,0.96
61189,V,1.00
46545,V,0.49
31583,Kl,0.39
63630,Ad,0.93
84010,Ad,0.74
30249,V,0.87
21446,Ad,0.68
56644,Ad,0.74
22690,S,0.96
28133,Ad,0.77
1857,S,0.96
31778,V,1.00
56455,S,0.70
18871,S,0.98
310041,Ad,0.98
2275,V,1.00
237595,Ad,0.49
164650,Ad,0.91
18644,V,1.00
4978,S,0.69
83742,Ad,0.91
39836,Ad,0.44
285337,Ad,0.88
68652,Kl,0.34
123113,V,1.00
133132,V,0.69
79502,Ad,0.56
210729,Ad,0.92
74072,S,0.70
116306,Bk,0.65
46058,D,0.52
68189,Ad,0.80
239436,Ad,0.91
108443,Ad,0.68
68941,Ad,0.83
75606,Ad,0.58
20864,S,1.00
63966,S,0.75
43338,S,0.40
235727,Ad,0.55
26378,C,0.48
64201,V,1.00
42237,Kl,0.38
11082,Ad,0.92
132605,Kl,0.27
5482,Kl,0.61
183138,S,0.21
122643,V,0.99
54494,Ad,0.61
1036,S,0.96
51924,D,0.50
33491,V,1.00
31170,Ad,0.39
11603,Ad,0.25
86501,Ad,0.48
32541,V,1.00
58136,V,1.00
22978,V,0.64
27836,S,0.42
10124,C,0.49
75797,S,0.26
52920,Kl,0.35
37263,C,0.36
23449,Ad,0.51
556,S,0.95
53232,Kl,0.24
22719,Xt,0.31
120836,V,0.54
14043,Ad,0.37
162595,Ad,0.75
15721,V,1.00
19511,Kl,0.64
310156,Ad,0.39
29876,Kl,0.63
22651,S,0.98
59127,V,0.56
30406,Kl,0.29
55319,Ad,0.76
34534,V,0.93
53498,S,0.45
23405,Ad,0.93
32022,V,1.00
18661,V,0.96
11625,Ad,0.77
22430,Bk,0.40
5272,Ad,0.93
283880,Ad,0.79
14342,C,0.96
16157,S,0.99
2010 JL83,Ad,0.87
47094,V,1.00
40066,D,0.35
23276,Ad,0.27
43303,Kl,0.57
80094,Bk,0.28
32718,Ad,0.42
49205,Kl,0.39
10104,Kl,0.39
734,C,1.00
12755,S,0.64
130859,Ad,0.93
16647,Ad,0.98
6339,Ad,0.78
83361,Ad,0.97
662,S,0.65
31935,Ad,0.93
23475,Ad,0.89
129912,Ad,0.83
27222,D,0.52
10306,Kl,0.42
3681,S,0.91
94741,S,0.96
14009,Ad,0.73
23874,S,0.82
72419,Kl,0.55
134137,Ad,1.00
120560,Ad,0.98
40631,Ad,0.62
61546,C,0.53
10231,Xt,0.41
30290,V,1.00
76754,Ad,0.61
7998,V,1.00
117197,Ad,0.68
76777,Ad,0.84
6562,S,0.80
562,Kl,0.58
58598,Kl,0.36
45760,Kl,0.46
31743,Kl,0.24
10256,Ad,0.72
54252,Ad,0.95
157591,S,0.47
3559,Kl,0.24
66657,V,0.61
25029,S,0.33
34735,Ad,0.64
108809,Ad,0.79
32235,D,0.24
69405,S,0.64
19145,Ad,0.39
134165,V,0.54
161306,Ad,0.43
80031,Ad,0.31
2265,Cgx,0.43
10667,Kl,0.25
44569,V,1.00
237532,Ad,0.58
160709,Ad,0.55
166370,S,0.48
170857,Ad,0.70
32942,Kl,0.28
49151,Ad,0.49
162664,V,1.00
29954,S,0.96
75548,S,0.64
37498,S,0.93
73416,C,0.46
110170,Bk,0.45
2095,D,0.93
70929,Ad,0.70
154366,Ad,0.36
19942,Ad,0.87
33412,Bk,0.42
5980,Kl,0.61
6360,V,0.98
38043,Ad,0.59
97951,S,0.50
3095,Ad,0.57
24093,Ad,0.31
79518,S,0.50
128154,Ad,0.62
108186,Kl,0.67
66862,Ad,0.44
9149,S,0.93
51947,Ad,0.52
17361,C,0.28
5032,Xt,0.42
248946,Ad,0.54
8910,Bk,0.81
140287,Ad,0.37
232965,Ad,0.89
63017,Xt,0.22
145019,Ad,0.51
6919,Kl,0.48
63389,Ad,0.37
67666,V,0.48
284611,Xt,0.23
66009,S,0.40
38549,V,0.90
20498,Kl,0.63
7952,Ad,0.48
1485,S,0.79
87276,Ad,0.56
28022,Kl,0.90
43346,Cgx,0.32
15734,V,1.00
76661,Ad,0.64
49013,Ad,0.64
69784,Ad,0.44
7004,S,0.97
30706,Ad,0.30
26812,D,0.50
18528,V,0.67
55976,Ad,0.61
53293,Ad,0.99
24197,S,0.74
67097,S,0.33
17505,V,0.65
6452,Kl,0.74
96449,Ad,0.66
71091,Kl,0.43
9733,V,0.66
18920,Ad,0.62
668,Kl,0.63
4196,D,0.77
77570,Ad,0.85
48424,Ad,0.51
206438,Ad,0.50
15569,Ad,0.19
16169,V,1.00
1536,S,1.00
111928,Ad,0.57
2297,C,0.98
171528,Ad,0.55
57726,Ad,0.57
23189,Ad,0.78
29143,Kl,0.32
171428,Ad,0.80
49177,S,0.94
99225,S,0.53
52356,Ad,0.40
15409,Kl,0.27
15476,V,1.00
76216,Kl,0.55
41163,Ad,0.60
122931,V,0.90
12861,Ad,0.88
171305,V,0.94
200268,Ad,0.96
64194,Kl,0.60
23156,Ad,0.92
165433,Ad,0.32
74092,V,0.93
78525,S,0.43
133889,Ad,0.37
28902,V,1.00
18741,D,0.40
8079,D,0.82
167243,S,0.29
43190,Ad,0.76
56409,Ad,0.35
33352,S,0.98
40067,S,0.92
197487,Ad,0.78
95816,D,0.53
38681,Ad,0.83
6844,S,0.88
126202,Kl,0.28
1705,Bk,0.47
207178,Ad,0.64
18044,V,0.96
17889,Ad,0.97
61871,V,0.99
144414,Kl,0.67
132995,Ad,0.44
102698,Ad,0.43
30723,Ad,0.71
1434,Cgx,0.43
15407,S,0.97
32127,Kl,0.29
5042,Cgx,0.42
5057,C,0.92
51283,Kl,0.34
521,Kl,0.42
250365,S,0.56
251600,Ad,0.86
29965,C,0.35
20664,C,0.44
30538,Kl,0.52
55132,Xt,0.27
32119,Kl,0.31
28371,Xt,0.37
11905,Ad,0.62
82048,Kl,0.49
233904,Ad,0.42
16010,Kl,0.39
43909,Ad,0.69
11163,S,0.57
70683,D,0.50
165856,Ad,0.49
203094,V,0.39
3806,Ad,0.28
42536,Ad,0.95
32636,Ad,0.69
78054,Ad,0.67
15774,S,0.47
40061,V,0.98
2003 GV50,V,1.00
72391,Ad,0.33
80081,Bk,0.45
201903,Kl,0.27
130896,Kl,0.60
64968,S,0.68
94769,S,0.99
106840,Ad,0.57
4848,Xt,0.46
24857,V,1.00
15549,S,0.94
51589,S,0.94
86797,V,0.85
14128,S,0.67
21929,S,0.45
46745,Ad,0.95
3185,C,0.84
22999,S,0.69
5328,V,0.99
24593,Ad,0.84
44567,Ad,0.98
20513,Ad,0.71
15230,Ad,0.76
127277,S,0.70
8862,S,0.97
15560,Ad,0.42
23354,V,1.00
23672,D,0.41
20958,S,0.97
110391,Ad,0.37
242973,Ad,0.51
165617,S,0.63
83701,Ad,0.46
18477,Ad,0.59
25580,Ad,0.64
41047,V,0.78
36740,V,0.87
61972,Ad,1.00
69523,Ad,0.80
3172,S,0.97
98408,Ad,0.99
64735,Ad,0.86
48353,Ad,0.85
7923,Kl,0.56
44332,Ad,0.88
19935,S,0.99
43433,S,0.97
2316,C,0.99
13836,Ad,0.73
16849,Ad,0.99
3249,D,0.68
2164,Cgx,0.53
9620,Kl,0.35
28160,Ad,0.43
10911,Ad,0.46
69546,Ad,0.98
58620,V,0.98
5383,D,0.28
239149,Ad,0.70
13495,Ad,0.62
86475,Ad,0.98
