MainDesig,TaxClass,MCProb
21452,S,0.651014
286852,Kl,0.416463
104207,C,0.988335
83516,Ds,0.505984
116814,C,0.569548
392,Kl,0.57117
339424,Ad,0.66433
104024,S,0.735585
67850,V,0.998222
36320,S,0.484443
9897,S,0.760561
90891,Ds,0.698139
9133,V,0.636604
70420,Kl,0.4206
71306,S,0.915319
23472,V,0.607629
71767,S,0.54853
24816,S,0.818227
42961,Ds,0.521247
132542,Ad,0.542142
163151,Ad,0.409986
169400,Ad,0.919091
25862,Ds,0.378131
32600,C,0.293058
196962,C,0.4671
53376,Kl,0.306979
57371,Cgx,0.510895
39859,C,0.421697
5845,Ds,1.0
176293,Ds,0.901238
176636,C,0.650211
134344,C,0.857388
81364,Ds,0.581407
3040,Bk,0.99932
23174,S,0.626269
17532,Ds,0.408685
440967,Ad,0.734295
178669,V,0.586647
46993,S,0.995346
263190,Ad,0.967383
215139,C,0.337798
7587,S,1.0
117235,C,0.365658
134728,S,0.729409
142492,S,0.407678
86153,Bk,0.441051
479207,S,0.405004
7374,Ad,0.49637
19766,V,0.994754
162809,Ds,0.269312
110329,Ad,0.430611
72350,V,0.57696
35395,S,0.429844
66286,V,0.740475
12262,Kl,0.427682
22880,V,1.0
32266,C,0.452823
28233,S,0.999982
172447,V,0.997189
308785,S,0.250558
103103,S,0.528536
241094,Ds,0.738249
62832,Ds,0.522198
135893,S,0.594035
30453,Ds,0.827343
54733,Cgx,0.388789
98249,S,0.296823
244910,S,0.429678
185767,S,0.28084
175565,C,0.728402
170577,S,0.628076
143581,Ds,0.641606
175310,S,0.477922
311756,S,0.414246
44878,V,1.0
248220,Ds,0.690915
11916,S,0.609072
44678,V,0.97161
247657,C,0.333079
101979,Kl,0.419992
60694,S,0.549211
101468,S,0.76596
359277,Ad,0.57239
247192,S,0.641248
98691,Kl,0.615775
38018,Cgx,0.320432
73916,Ad,0.978652
26836,S,0.634928
72745,Ad,0.582174
6276,Kl,0.454704
6677,Cgx,0.275675
69538,S,0.635072
77810,V,0.490924
5062,Ds,0.547067
3629,V,0.99949
6525,S,0.616626
14977,C,0.743082
19319,S,0.340756
53448,S,0.948536
5422,Kl,0.326995
79359,Ad,0.811739
35755,S,0.456778
1759,S,0.957054
53657,Ad,0.99342
24333,Ds,0.536515
30056,S,0.994031
98627,S,0.66393
91283,S,0.82213
33684,V,0.976107
208500,V,0.60335
58271,V,0.884892
17948,S,0.79507
11294,Ds,0.799604
59215,V,0.992209
50761,Ds,0.62174
306065,Ds,0.560836
8069,C,0.372197
77842,Kl,0.358581
44571,C,0.226084
20085,S,0.891872
7326,S,0.965538
55458,Kl,0.517264
9690,Ad,0.978088
28754,C,0.876136
13082,S,0.445995
40739,C,0.730421
16176,S,0.50329
1112,Cgx,0.999997
14188,C,0.746383
112441,C,0.501316
46299,C,0.343469
45671,C,0.81198
29536,Cgx,0.691478
45387,C,0.982488
70638,Ds,0.952341
5853,S,1.0
44459,S,0.557103
241927,Ad,0.543041
239414,Ds,0.33449
80041,Kl,0.409975
99036,Kl,0.264352
63477,Kl,0.333897
364664,S,0.322256
311760,C,0.852426
248509,Bk,0.320335
310557,S,0.386903
73455,Kl,0.428096
3582,Cgx,0.36288
53127,Ds,0.81671
128317,Ds,0.748344
2556,S,0.956421
50924,Ds,0.26562
87520,S,0.612133
59290,Ds,0.712133
50915,Ds,0.789045
20254,S,0.638652
53977,Ds,0.726548
68871,Ds,0.834517
1281,Xt,0.999889
13380,V,0.999073
303974,Ad,0.88903
77390,Ds,0.593657
24334,C,0.403131
44424,C,0.361663
43548,Ad,0.682808
17508,C,0.819338
193294,Kl,0.345357
31201,Ds,0.40872
50129,C,0.781362
71398,S,0.299805
95754,V,0.999967
59873,S,0.614175
9356,S,1.0
29548,S,0.582718
304013,C,0.535357
80052,S,0.946537
140978,C,0.866031
166950,S,0.49864
23613,C,0.998228
105032,C,0.710255
242188,S,0.437157
10734,Cgx,0.777536
149710,Ds,0.847996
381659,Ds,0.549934
455124,Ad,0.737822
98332,S,0.511663
8355,S,1.0
241506,C,0.564924
282373,V,0.68721
247311,S,0.355533
133086,S,0.499452
250301,S,0.515525
139390,Ds,0.365515
245550,C,0.474467
7447,Cgx,0.571475
100402,C,0.315523
283221,V,0.482347
46185,S,0.600667
1711,Kl,0.538833
24365,S,0.789184
136596,Ds,0.537242
80067,C,0.379482
74200,Ds,0.425352
5834,S,0.56281
16970,Cgx,0.484803
28185,Ds,0.998512
90328,Bk,0.420196
29529,Ds,0.955473
76790,Kl,0.406441
93647,S,0.582331
8173,C,0.414115
56145,S,0.353947
131006,Ad,0.882063
13877,Ds,0.700332
22033,Ds,0.447451
28607,Kl,0.498022
51237,Ds,0.916341
61189,V,0.999935
46545,V,0.383877
31583,Kl,0.359258
63630,Ds,0.643966
84010,Ad,0.583036
30249,V,0.500886
21446,S,0.347959
56644,S,0.741872
22690,S,0.998222
28133,Ds,0.483082
1857,S,1.0
31778,V,0.999596
56455,S,0.984237
18871,S,1.0
310041,Ad,0.989075
2275,V,1.0
237595,Ds,0.506801
164650,Ds,0.581636
18644,V,1.0
4978,S,0.952618
83742,Ad,0.378598
39836,S,0.705736
285337,Ad,0.731333
68652,C,0.600527
123113,V,0.797517
133132,V,0.390815
79502,Ad,0.550029
210729,Ad,0.788891
74072,S,0.879636
116306,Bk,0.62511
46058,Ds,0.481812
68189,Ds,0.730425
239436,Ad,0.583929
108443,Ds,0.79595
68941,Ad,0.486311
75606,Ds,0.453522
20864,S,0.999939
63966,S,0.925351
43338,S,0.644171
235727,Ad,0.467983
26378,C,0.870117
64201,V,0.774134
42237,Kl,0.39385
11082,Ds,0.999985
132605,C,0.315169
5482,S,0.8711
183138,Bk,0.485387
122643,V,0.975815
54494,S,0.486616
1036,S,1.0
51924,Ds,0.413026
33491,V,0.998132
31170,S,0.565148
11603,S,0.410525
86501,Ds,0.433595
32541,V,0.999665
58136,V,0.999799
22978,Kl,0.5888
27836,S,0.678335
10124,C,0.626549
75797,S,0.368994
52920,Kl,0.355066
37263,C,0.749133
23449,S,0.896969
556,S,1.0
53232,C,0.364629
22719,S,0.416363
120836,S,0.447319
14043,S,0.291272
162595,Ad,0.665103
15721,V,0.951938
19511,S,0.433256
310156,Ad,0.447271
29876,Xt,0.479764
22651,S,1.0
59127,S,0.4977
30406,C,0.520823
55319,Ds,0.899736
34534,V,0.751628
53498,S,0.583467
23405,Ad,0.656801
32022,V,0.949302
18661,V,0.753575
11625,Ds,0.882946
22430,Bk,0.327104
5272,S,0.509787
283880,Ad,0.479252
14342,C,0.999296
16157,S,0.999278
2010 JL83,Ad,0.937213
47094,V,0.999568
40066,Ds,0.374791
23276,C,0.503529
43303,S,0.363305
80094,C,0.47159
32718,S,0.463034
49205,C,0.459567
10104,S,0.449467
734,C,1.0
12755,S,0.784042
130859,Ds,0.569369
16647,Ad,0.883875
6339,Ds,0.680009
83361,Ad,0.502896
662,S,1.0
31935,Ad,0.666024
23475,Ds,0.618375
129912,Ds,0.748501
27222,Ds,0.368183
10306,Kl,0.571591
3681,S,0.986173
94741,S,0.96262
14009,Ds,0.893
23874,S,0.813421
72419,Kl,0.316301
134137,Ad,0.889477
120560,Ad,0.693637
40631,Ds,0.490822
61546,C,0.815083
10231,Kl,0.262786
30290,V,0.989043
76754,S,0.382567
7998,V,0.998298
117197,Ds,0.401893
76777,Ds,0.497034
6562,S,0.893081
562,Kl,0.980585
58598,C,0.425392
45760,Cgx,0.347007
31743,C,0.488535
10256,Ds,0.621352
54252,Ad,0.501774
157591,S,0.638517
3559,C,0.87775
66657,S,0.260853
25029,S,0.472132
34735,Ad,0.480828
108809,Ad,0.608093
32235,S,0.496981
69405,S,0.758433
19145,Ds,0.27121
134165,S,0.549277
161306,Ad,0.527878
80031,C,0.273473
2265,Cgx,0.560192
10667,C,0.464741
44569,V,0.99989
237532,Ds,0.634115
160709,Ds,0.396984
166370,S,0.643274
170857,Ad,0.571625
32942,S,0.457717
49151,Ds,0.640477
162664,V,0.998704
29954,S,0.972827
75548,S,0.828337
37498,S,0.982737
73416,C,0.841474
110170,Kl,0.33647
2095,Ds,0.977289
70929,Ds,0.675533
154366,S,0.449716
19942,Ds,0.479819
33412,C,0.666311
5980,Ds,0.298252
6360,S,0.946631
